"",element,car_names,car_prices,car_registered_date,car_km,car_PS,car_configuration,car_fuelType,car_adresse,Datum,Marke,Typ_grob,Typ,Status,VerkauftIn
"5405",5405,SKODA Enyaq iV 80,44400,03.2023,16'900,204,Automatikgetriebe,Elektro,8414 Schlatt,2023-11-22,SKODA ,Enyaq ,Enyaq iV ,,FALSE
"5406",5406,VW T6.1 Multivan 2.0 TDI Trendline DSG,48900,08.2020,60'500,150,Automatikgetriebe,Diesel,6312 Steinhausen,2023-11-22,VW ,T6.1 ,T6.1 Multivan ,,FALSE
"5407",5407,AUDI A4 allroad 2.0 TDI quattro,8000,10.2010,265'000,170,Handschaltung,Diesel,6330 Cham  ZG,2023-11-22,AUDI ,A4 ,A4 allroad ,,FALSE
"5408",5408,MERCEDES-BENZ Vito 115 CDI,8500,07.2009,200'462,150,Handschaltung,Diesel,6210 Sursee,2023-11-22,MERCEDES-BENZ ,Vito ,Vito 115 ,,FALSE
"5409",5409,VOLVO XC60 T8 eAWD Inscription Geartronic,36500,12.2017,112'500,407,Automatikgetriebe,Hybrid,8322 Gündisau,2023-11-22,VOLVO ,XC60 ,XC60 T8 ,,FALSE
"5410",5410,BMW Z4 M40i Steptronic,68500,05.2023,11'000,340,Automatikgetriebe,Benzin,1405 Pomy,2023-11-22,BMW ,Z4 ,Z4 M40i ,,FALSE
"5411",5411,VW Sharan 2.0 TDI BMT Comfortline DSG,16000,03.2017,189'500,150,Automatikgetriebe,Diesel,2564 Bellmund,2023-11-22,VW ,Sharan ,Sharan 2.0 ,,FALSE
"5412",5412,CHEVROLET Nubira 1.8 16V CDX MFK 30.12.2022,4500,10.2005,80'000,122,Automatikgetriebe,Benzin,4107 Ettingen,2023-11-22,CHEVROLET ,Nubira ,Nubira 1.8 ,,FALSE
"5413",5413,BMW X1 xDrive 25i M Sport Steptronic,24880,07.2017,113'998,231,Automatikgetriebe,Benzin,8494 Bauma,2023-11-22,BMW ,X1 ,X1 xDrive ,,FALSE
"5414",5414,MINI Cooper S Cabriolet DKG,48200,Neues Fahrzeug,10,178,Automatikgetriebe,Benzin,9016 St.Gallen,2023-11-22,MINI ,Cooper ,Cooper S ,,FALSE
