"",V1,car_names,car_prices,car_registered_date,car_km,car_PS,car_configuration,car_fuelType,car_adresse,Datum,Marke,Typ_grob,Typ,Status,VerkauftIn
"6778",6778,FIAT Panda 0.9 Twinair Turbo 4x40 4x4,25490,Neues Fahrzeug,100,85,Handschaltung,Benzin,8620 Wetzikon & 8645 Rapperswil-Jona,2023-11-18,FIAT ,Panda ,Panda 0.9 ,,FALSE
"6779",6779,MERCEDES-BENZ GLA 250 4Matic 8G-DCT,74100,Neues Fahrzeug,100,224,Automatikgetriebe,Benzin,9050 Appenzell,2023-11-18,MERCEDES-BENZ ,GLA ,GLA 250 ,,FALSE
"6780",6780,SKODA Fabia 1.5 TSI Style DSG,28500,Vorführmodell,1'500,150,Automatikgetriebe,Benzin,8620 Wetzikon & 8645 Rapperswil-Jona,2023-11-18,SKODA ,Fabia ,Fabia 1.5 ,,FALSE
"6781",6781,BMW X5 xDrive M50d Steptronic,50000,04.2016,89'000,381,Automatikgetriebe,Diesel,8134 Adliswil,2023-11-18,BMW ,X5 ,X5 xDrive ,,FALSE
"6782",6782,BENTLEY 1952 Bentley MK VI HJ Mulliner Lightweight,148000,01.1952,58'000,0,Handschaltung,Benzin,8104 Weiningen ZH,2023-11-18,BENTLEY ,1952 ,1952 Bentley ,,FALSE
"6783",6783,FORD 1914 Model T Depot Hack,59900,06.1914,16'000,20,Handschaltung,Benzin,8104 Weiningen ZH,2023-11-18,FORD ,1914 ,1914 Model ,,FALSE
"6784",6784,JAGUAR SS1,119000,06.1934,100,75,Handschaltung,Benzin,6300 Zug,2023-11-18,JAGUAR ,"","",,FALSE
"6785",6785,AUDI A3 Sedan 1.4 TFSI Attraction,37900,10.2014,146'000,125,Handschaltung,Benzin,8104 Weiningen,2023-11-18,AUDI ,A3 ,A3 Sedan ,,FALSE
"6786",6786,PORSCHE Taycan Turbo S,179900,10.2020,17'000,761,"",Elektro,8610 Uster,2023-11-18,PORSCHE ,Taycan ,Taycan Turbo ,,FALSE
"6787",6787,AUDI 200 Turbo 20V quattro,25000,09.1989,159'500,220,Handschaltung,Benzin,7303 Mastrils,2023-11-18,AUDI ,200 ,200 Turbo ,,FALSE
